system:index,Name,OBJECTID,altitudeMo,begin,blue,descriptio,drawOrder,end,extrude,green,icon,latitude,longitude,nbr,ndvi,nir,pixel_qa,red,swir1,swir2,tessellate,timestamp,visibility,.geo
1_1_LT05_106061_19940906_0000d1c2fa9556d6fda9_0,6.Primary Forest,17,,,471,,0,,0,615,,-1.810762802427502,132.4753709008544,0.7672076,0.70979965,3158,66,536,1342,416,-1,,-1,
1_1_LT05_106061_19940906_0000906ad230d00beb89_0,7.Primary Forest 2016,18,,,471,,0,,0,572,,-1.7796025821948491,132.4915818908765,0.6601898,0.6185022,1837,66,433,784,376,-1,,-1,
1_1_LT05_106061_19940906_0000f3e146c30884b62d_0,25. Ikana customary land rights conflict,25,,,452,,0,,0,615,,-1.7738508580998293,132.44982230489956,0.6941104,0.69098186,2747,66,502,1286,496,-1,,-1,
1_1_LT05_106061_19940906_0000e1923b7b7db3c646_0,8. Primary forest cleared 2017,19,,,1109,,0,,0,1415,,-1.7873378005643281,132.39995382514022,0.43800995,0.4755973,3613,66,1284,2150,1412,-1,,-1,
1_1_LT05_106061_19940922_0000fb67a78b70d5fc4f_0,17. Disputed Land cleared 2017,4,,,387,,0,,0,494,,-1.9414590160791922,132.3016416740556,0.74168414,0.7537719,2906,66,408,1247,431,-1,,-1,
1_1_LT05_106061_19940922_0000ccb27c8f5d3ef46d_0,18. Sago Forest,6,,,347,,0,,0,494,,-1.9522773514017462,132.28545711391885,0.7417615,0.7720207,2907,66,374,1273,431,-1,,-1,
1_1_LT05_106061_19940922_0000d33652d4489c01ad_0,"20. Puragi village, land rights conflict",9,,,1003,,0,,0,1261,,-1.96773324672283,132.2870489423641,0.5216735,0.49523205,3528,66,1191,2252,1109,-1,,-1,
1_1_LT05_106061_19940922_00009419fece5e331603_0,14. Swamp,2,,,386,,0,,0,575,,-1.962265062279016,132.2590346879042,0.778303,0.7905759,3762,66,440,1353,469,-1,,-1,
1_1_LT05_106061_19940922_0000d98315eff5da7304_0,19. Network of canals,7,,,326,,0,,0,534,,-1.9576647172733035,132.26416171366736,0.8103946,0.7905759,3762,66,440,1248,394,-1,,-1,
1_1_LT05_106061_19940922_0000ebdf8f3756e97b7a_0,"16. Sago 40,000ha concession",5,,,346,,0,,0,534,,-1.9419410766299214,132.26445656962534,0.75837195,0.8024822,3413,66,374,1327,469,-1,,-1,
1_1_LT05_106061_19940922_00003754d659e070befb_0,15. Logpond,3,,,306,,0,,0,494,,-1.9338000537457258,132.2596196201072,0.7456616,0.7918174,3219,66,374,1300,469,-1,,-1,
1_1_LT05_106061_19940922_00007ddfec1d5b655137_0,"12 Primary Forest, 2012",23,,,458,,0,,0,651,,-1.8596514166178884,132.3467665889175,0.697006,0.6670588,2834,66,566,1459,506,-1,,-1,
1_1_LT05_106061_19940922_0000c9d17b4ed4e94c1f_0,11. Primary forest cleared in 2015,22,,,356,,0,,0,487,,-1.856418232236063,132.3602441180917,0.71921825,0.75523776,2639,66,368,1353,431,-1,,-1,
1_1_LT05_106061_19940922_00000cff636f99017122_0,13.Disputed Land cleared in 2017,24,,,326,,0,,0,494,,-1.9222411418124734,132.3213422330717,0.70851463,0.75992316,2749,66,375,1326,469,-1,,-1,
1_1_LT05_106061_19940922_0000a256e58c14f98604_0,"22. Primary Forest, 2014",10,,,260,,0,,0,368,,-1.9285705587739872,132.38115350838828,0.7122807,0.63538873,1220,66,272,478,205,-1,,-1,
1_1_LT05_106061_19940922_00006eab9daa22078f4b_0,5.Logpond,16,,,454,,0,,0,607,,-1.8614208172689384,132.44269301523997,0.0633446,0.33298042,1259,66,630,1405,1109,-1,,-1,
1_1_LT05_106061_19940922_00001dea1f19c019a788_0,"3.Land cleared, Apr.2014",14,,,715,,0,,0,933,,-1.8441155810000651,132.4761327285383,0.6188907,0.575628,2948,66,794,1537,694,-1,,-1,
1_1_LT05_106061_19940922_0000986f749581a25612_0,21. Swamp,8,,,523,,0,,0,897,,-2.010231093443732,132.41228650285314,0.7307061,0.7268073,4216,66,667,1799,656,-1,,-1,
1_1_LT05_106061_19940922_0000d1c2fa9556d6fda9_0,6.Primary Forest,17,,,375,,0,,0,525,,-1.810762802427502,132.4753709008544,0.738867,0.75535166,2870,66,400,1219,431,-1,,-1,
1_1_LT05_106061_19940922_0000e1923b7b7db3c646_0,8. Primary forest cleared 2017,19,,,454,,0,,0,607,,-1.7873378005643281,132.39995382514022,0.67422336,0.7150229,2991,66,497,1592,582,-1,,-1,
1_1_LT05_106061_19940922_0000213085169ff27d6b_0,"10. Primary forest, Global Forest Watch, Indonesia 2000",21,,,374,,0,,0,526,,-1.778063770307192,132.36116629928372,0.7074299,0.7447563,2953,66,432,1380,506,-1,,-1,
1_1_LT05_106061_19941125_0000ccb27c8f5d3ef46d_0,18. Sago Forest,6,,,956,,0,,0,876,,-1.9522773514017462,132.28545711391885,-1.0,-1.0,-278,68,640,647,283,-1,,-1,
1_1_LT05_106061_19941125_00009419fece5e331603_0,14. Swamp,2,,,20000,,0,,0,4708,,-1.962265062279016,132.2590346879042,0.23230349,0.1326384,6302,66,4826,4837,3926,-1,,-1,
1_1_LT05_106061_19941125_0000d98315eff5da7304_0,19. Network of canals,7,,,786,,0,,0,917,,-1.9576647172733035,132.26416171366736,0.7882065,0.7218075,4382,66,708,1363,519,-1,,-1,
1_1_LT05_106061_19941125_0000ebdf8f3756e97b7a_0,"16. Sago 40,000ha concession",5,,,977,,0,,0,958,,-1.9419410766299214,132.26445656962534,0.7556818,0.67654425,4017,66,775,1391,559,-1,,-1,
1_1_LT05_106061_19941125_00003754d659e070befb_0,15. Logpond,3,,,20000,,0,,0,5994,,-1.9338000537457258,132.2596196201072,0.29891998,0.10281588,7637,66,6213,5625,4122,-1,,-1,
1_1_LT05_106061_19941125_0000f548dedadb3073ed_0,"23. Palm Oil Plantation, primary forest cleared in 2015",11,,,764,,0,,0,834,,-1.8883958942278662,132.3502262473484,0.603454,0.5144291,2414,66,774,1033,597,-1,,-1,
1_1_LT05_106061_19950213_0000e1923b7b7db3c646_0,8. Primary forest cleared 2017,19,,,234,,0,,0,457,,-1.7873378005643281,132.39995382514022,0.69953054,0.7891269,2715,66,320,1092,480,-1,,-1,
1_1_LT05_106061_19950213_0000213085169ff27d6b_0,"10. Primary forest, Global Forest Watch, Indonesia 2000",21,,,674,,0,,0,769,,-1.778063770307192,132.36116629928372,0.7059983,0.64798695,3029,66,647,1271,522,-1,,-1,
1_1_LT05_106061_19950301_0000fb67a78b70d5fc4f_0,17. Disputed Land cleared 2017,4,,,2063,,0,,0,1956,,-1.9414590160791922,132.3016416740556,0.5031473,0.31329057,3582,66,1873,1983,1184,-1,,-1,
1_1_LT05_106061_19950301_0000ccb27c8f5d3ef46d_0,18. Sago Forest,6,,,670,,0,,0,808,,-1.9522773514017462,132.28545711391885,0.67667085,0.65951073,3324,66,682,1429,641,-1,,-1,
1_1_LT05_106061_19950301_0000d33652d4489c01ad_0,"20. Puragi village, land rights conflict",9,,,692,,0,,0,808,,-1.96773324672283,132.2870489423641,0.6353444,0.6206349,3063,66,717,1370,683,-1,,-1,
1_1_LT05_106061_19950301_00009419fece5e331603_0,14. Swamp,2,,,544,,0,,0,684,,-1.962265062279016,132.2590346879042,0.7740311,0.76283723,4051,66,545,1398,516,-1,,-1,
1_1_LT05_106061_19950301_0000d98315eff5da7304_0,19. Network of canals,7,,,588,,0,,0,641,,-1.9576647172733035,132.26416171366736,0.72763264,0.73083025,3273,66,509,1195,516,-1,,-1,
1_1_LT05_106061_19950301_0000ebdf8f3756e97b7a_0,"16. Sago 40,000ha concession",5,,,881,,0,,0,1071,,-1.9419410766299214,132.26445656962534,0.6729483,0.6194586,4128,66,970,1718,807,-1,,-1,
1_1_LT05_106061_19950301_00003754d659e070befb_0,15. Logpond,3,,,444,,0,,0,562,,-1.9338000537457258,132.2596196201072,0.7731899,0.78043795,3049,66,376,1252,390,-1,,-1,
1_1_LT05_106061_19950301_00007ddfec1d5b655137_0,"12 Primary Forest, 2012",23,,,3284,,0,,0,3312,,-1.8596514166178884,132.3467665889175,0.37399343,0.15943123,4607,66,3340,3144,2099,-1,,-1,
1_1_LT05_106061_19950301_0000c9d17b4ed4e94c1f_0,11. Primary forest cleared in 2015,22,,,959,,0,,0,1023,,-1.856418232236063,132.3602441180917,0.53846157,0.5095299,2970,66,965,1631,891,-1,,-1,
1_1_LT05_106061_19950301_0000f548dedadb3073ed_0,"23. Palm Oil Plantation, primary forest cleared in 2015",11,,,3699,,0,,0,3846,,-1.8883958942278662,132.3502262473484,0.30508876,0.17707333,5514,66,3855,4193,2936,-1,,-1,
1_1_LT05_106061_19950301_00000cff636f99017122_0,13.Disputed Land cleared in 2017,24,,,2611,,0,,0,2622,,-1.9222411418124734,132.3213422330717,0.4132901,0.2530536,4360,66,2599,2770,1810,-1,,-1,
1_1_LT05_106061_19950301_0000a256e58c14f98604_0,"22. Primary Forest, 2014",10,,,1804,,0,,0,1869,,-1.9285705587739872,132.38115350838828,0.44260582,0.39357227,4141,66,1802,2418,1600,-1,,-1,
1_1_LT05_106061_19950301_00006eab9daa22078f4b_0,5.Logpond,16,,,597,,0,,0,717,,-1.8614208172689384,132.44269301523997,0.47332186,0.50017524,2140,66,713,1368,765,-1,,-1,
1_1_LT05_106061_19950301_00001dea1f19c019a788_0,"3.Land cleared, Apr.2014",14,,,973,,0,,0,1103,,-1.8441155810000651,132.4761327285383,0.56618273,0.5499683,3668,66,1065,1893,1016,-1,,-1,
1_1_LT05_106061_19950301_00002f64e70a109476cd_0,2.Primary Forest,13,,,1673,,0,,0,1826,,-1.8373459775875856,132.4826097255928,0.41822255,0.37384698,3798,66,1731,2330,1558,-1,,-1,
1_1_LT05_106061_19950301_0000b270b7e882c886f9_0,"4.Land cleared,Apr2014",15,,,1084,,0,,0,1188,,-1.8311022153793304,132.47749839139112,0.5123414,0.49714547,3278,66,1101,1835,1057,-1,,-1,
1_1_LT05_106061_19950301_0000a69817a0d03f0d28_0,1. Hexagon,12,,,1061,,0,,0,1145,,-1.8332771579548741,132.4815375077037,0.43895966,0.42235047,2711,66,1101,1601,1057,-1,,-1,
1_1_LT05_106061_19950301_0000986f749581a25612_0,21. Swamp,8,,,1019,,0,,0,1317,,-2.010231093443732,132.41228650285314,0.5478075,0.49968913,3618,66,1207,1688,1057,-1,,-1,
1_1_LT05_106061_19950301_0000d1c2fa9556d6fda9_0,6.Primary Forest,17,,,1391,,0,,0,1403,,-1.810762802427502,132.4753709008544,0.36303872,0.33891413,2799,66,1382,1807,1308,-1,,-1,
1_1_LT05_106061_19950301_0000906ad230d00beb89_0,7.Primary Forest 2016,18,,,1974,,0,,0,2037,,-1.7796025821948491,132.4915818908765,0.4109018,0.35597566,4232,66,2010,2710,1767,-1,,-1,
1_1_LT05_106061_19950301_0000f3e146c30884b62d_0,25. Ikana customary land rights conflict,25,,,1654,,0,,0,1828,,-1.7738508580998293,132.44982230489956,0.41366974,0.3596523,3754,66,1768,2301,1557,-1,,-1,
1_1_LT05_106061_19950301_0000ec6a9e696efab24e_0,24. Peat 2012,1,,,326,,0,,0,411,,-1.8150562601663174,132.4435674324161,0.676397,0.69835234,2010,66,357,871,388,-1,,-1,
1_1_LT05_106061_19950301_000077457b35ab3d5190_0,9. Primary Forest cleared in 2015,20,,,820,,0,,0,932,,-1.8093656590016032,132.4460006164793,0.45873854,0.49359885,2625,66,890,1485,974,-1,,-1,
1_1_LT05_106061_19950301_0000e1923b7b7db3c646_0,8. Primary forest cleared 2017,19,,,985,,0,,0,1110,,-1.7873378005643281,132.39995382514022,0.5303266,0.5496063,3444,66,1001,1863,1057,-1,,-1,
1_1_LT05_106061_19950301_0000213085169ff27d6b_0,"10. Primary forest, Global Forest Watch, Indonesia 2000",21,,,390,,0,,0,469,,-1.778063770307192,132.36116629928372,0.6623974,0.7247019,2531,66,404,1193,514,-1,,-1,
1_1_LT05_106061_19950520_0000fb67a78b70d5fc4f_0,17. Disputed Land cleared 2017,4,,,185,,0,,0,313,,-1.9414590160791922,132.3016416740556,0.73955435,0.8510559,2498,66,201,1048,374,-1,,-1,
1_1_LT05_106061_19950520_0000ccb27c8f5d3ef46d_0,18. Sago Forest,6,,,144,,0,,0,271,,-1.9522773514017462,132.28545711391885,0.68455076,0.69330734,1303,66,236,475,244,-1,,-1,
1_1_LT05_106061_19950520_0000d33652d4489c01ad_0,"20. Puragi village, land rights conflict",9,,,294,,0,,0,524,,-1.96773324672283,132.2870489423641,0.6867191,0.82844245,3645,66,342,1742,677,-1,,-1,
1_1_LT05_106061_19950520_00009419fece5e331603_0,14. Swamp,2,,,637,,0,,0,817,,-1.962265062279016,132.2590346879042,0.63754773,0.6553916,3646,66,759,1683,807,-1,,-1,
1_1_LT05_106061_19950520_0000d98315eff5da7304_0,19. Network of canals,7,,,164,,0,,0,229,,-1.9576647172733035,132.26416171366736,0.8941068,0.84982014,2057,66,167,565,115,-1,,-1,
1_1_LT05_106061_19950520_0000ebdf8f3756e97b7a_0,"16. Sago 40,000ha concession",5,,,230,,0,,0,355,,-1.9419410766299214,132.26445656962534,0.82374865,0.853355,3425,66,271,1109,331,-1,,-1,
1_1_LT05_106061_19950520_00003754d659e070befb_0,15. Logpond,3,,,208,,0,,0,355,,-1.9338000537457258,132.2596196201072,0.78846157,0.8421206,3162,66,271,1109,374,-1,,-1,
1_1_LT05_106061_19950520_00007ddfec1d5b655137_0,"12 Primary Forest, 2012",23,,,229,,0,,0,270,,-1.8596514166178884,132.3467665889175,0.71340764,0.7586751,2230,66,306,986,373,-1,,-1,
1_1_LT05_106061_19950520_0000c9d17b4ed4e94c1f_0,11. Primary forest cleared in 2015,22,,,207,,0,,0,270,,-1.856418232236063,132.3602441180917,0.6746187,0.82835186,2141,66,201,1107,416,-1,,-1,
1_1_LT05_106061_19950520_0000f548dedadb3073ed_0,"23. Palm Oil Plantation, primary forest cleared in 2015",11,,,163,,0,,0,311,,-1.8883958942278662,132.3502262473484,0.7894737,0.8447879,2805,66,236,926,330,-1,,-1,
1_1_LT05_106061_19950520_00000cff636f99017122_0,13.Disputed Land cleared in 2017,24,,,184,,0,,0,269,,-1.9222411418124734,132.3213422330717,0.6953981,0.8406027,2321,66,201,1078,417,-1,,-1,
1_1_LT05_106061_19950520_0000a256e58c14f98604_0,"22. Primary Forest, 2014",10,,,184,,0,,0,353,,-1.9285705587739872,132.38115350838828,0.7626753,0.8243394,2451,66,236,1016,330,-1,,-1,
1_1_LT05_106061_19950520_00006eab9daa22078f4b_0,5.Logpond,16,,,273,,0,,0,480,,-1.8614208172689384,132.44269301523997,0.5759008,0.73415667,2668,66,409,1617,718,-1,,-1,
1_1_LT05_106061_19950520_00001dea1f19c019a788_0,"3.Land cleared, Apr.2014",14,,,142,,0,,0,270,,-1.8441155810000651,132.4761327285383,0.79118526,0.82555604,2093,66,200,1014,244,-1,,-1,
1_1_LT05_106061_19950520_00002f64e70a109476cd_0,2.Primary Forest,13,,,142,,0,,0,311,,-1.8373459775875856,132.4826097255928,0.7754304,0.81157684,2269,66,236,954,287,-1,,-1,
1_1_LT05_106061_19950520_0000b270b7e882c886f9_0,"4.Land cleared,Apr2014",15,,,206,,0,,0,353,,-1.8311022153793304,132.47749839139112,0.7729618,0.8322076,2577,66,236,984,330,-1,,-1,
1_1_LT05_106061_19950520_0000a69817a0d03f0d28_0,1. Hexagon,12,,,185,,0,,0,311,,-1.8332771579548741,132.4815375077037,0.815501,0.82100874,2401,66,236,984,244,-1,,-1,
1_1_LT05_106061_19950520_0000986f749581a25612_0,21. Swamp,8,,,227,,0,,0,564,,-2.010231093443732,132.41228650285314,0.77317554,0.8106747,3596,66,376,1559,460,-1,,-1,
1_1_LT05_106061_19950520_0000d1c2fa9556d6fda9_0,6.Primary Forest,17,,,164,,0,,0,312,,-1.810762802427502,132.4753709008544,0.7583303,0.84550345,2401,66,201,894,330,-1,,-1,
1_1_LT05_106061_19950520_0000906ad230d00beb89_0,7.Primary Forest 2016,18,,,142,,0,,0,269,,-1.7796025821948491,132.4915818908765,0.7672344,0.859215,2179,66,165,803,287,-1,,-1,
1_1_LT05_106061_19950520_0000f3e146c30884b62d_0,25. Ikana customary land rights conflict,25,,,122,,0,,0,312,,-1.7738508580998293,132.44982230489956,0.7371565,0.8312343,2181,66,201,863,330,-1,,-1,
1_1_LT05_106061_19950520_0000ec6a9e696efab24e_0,24. Peat 2012,1,,,143,,0,,0,312,,-1.8150562601663174,132.4435674324161,0.79965097,0.85534364,2578,66,201,1014,287,-1,,-1,
1_1_LT05_106061_19950520_000077457b35ab3d5190_0,9. Primary Forest cleared in 2015,20,,,164,,0,,0,270,,-1.8093656590016032,132.4460006164793,0.77931565,0.84015906,2314,66,201,894,287,-1,,-1,
1_1_LT05_106061_19950520_0000e1923b7b7db3c646_0,8. Primary forest cleared 2017,19,,,165,,0,,0,396,,-1.7873378005643281,132.39995382514022,0.7829502,0.8569697,3064,66,236,1195,373,-1,,-1,
1_1_LT05_106061_19950520_0000213085169ff27d6b_0,"10. Primary forest, Global Forest Watch, Indonesia 2000",21,,,187,,0,,0,313,,-1.778063770307192,132.36116629928372,0.77327377,0.85616684,2581,66,200,1045,330,-1,,-1,
1_1_LT05_106061_19960623_0000d33652d4489c01ad_0,"20. Puragi village, land rights conflict",9,,,471,,0,,0,806,,-1.96773324672283,132.2870489423641,0.62969106,0.7184084,3930,66,644,2219,893,-1,,-1,
1_1_LT05_106061_19960623_0000f548dedadb3073ed_0,"23. Palm Oil Plantation, primary forest cleared in 2015",11,,,344,,0,,0,557,,-1.8883958942278662,132.3502262473484,0.81280786,0.8014686,3312,66,365,1160,342,-1,,-1,
1_1_LT05_106061_19960623_0000a256e58c14f98604_0,"22. Primary Forest, 2014",10,,,338,,0,,0,504,,-1.9285705587739872,132.38115350838828,0.7355725,0.81888,2842,66,283,1097,433,-1,,-1,
1_1_LT05_106061_19960623_0000986f749581a25612_0,21. Swamp,8,,,362,,0,,0,504,,-2.010231093443732,132.41228650285314,0.8547526,0.73320025,2605,66,401,808,204,-1,,-1,
1_1_LT05_106061_19960623_0000906ad230d00beb89_0,7.Primary Forest 2016,18,,,1132,,0,,0,1286,,-1.7796025821948491,132.4915818908765,0.47666666,0.48595387,3544,66,1226,1956,1256,-1,,-1,
1_1_LT05_106061_19960623_000077457b35ab3d5190_0,9. Primary Forest cleared in 2015,20,,,362,,0,,0,452,,-1.8093656590016032,132.4460006164793,0.7673297,0.78182924,2932,66,359,1062,386,-1,,-1,
1_1_LT05_106061_19960725_0000d33652d4489c01ad_0,"20. Puragi village, land rights conflict",9,,,589,,0,,0,828,,-1.96773324672283,132.2870489423641,0.60638976,0.70056367,3771,66,664,2117,924,-1,,-1,
1_1_LT05_106061_19960725_00009419fece5e331603_0,14. Swamp,2,,,399,,0,,0,587,,-1.962265062279016,132.2590346879042,0.7532026,0.7712625,3353,66,433,1237,472,-1,,-1,
1_1_LT05_106061_19960725_0000ebdf8f3756e97b7a_0,"16. Sago 40,000ha concession",5,,,422,,0,,0,731,,-1.9419410766299214,132.26445656962534,0.65394735,0.7306104,3771,66,587,1457,789,-1,,-1,
1_1_LT05_106061_19960725_00003754d659e070befb_0,15. Logpond,3,,,352,,0,,0,491,,-1.9338000537457258,132.2596196201072,0.7438263,0.80100894,3213,66,355,1331,472,-1,,-1,
1_1_LT05_106061_19960725_0000f548dedadb3073ed_0,"23. Palm Oil Plantation, primary forest cleared in 2015",11,,,397,,0,,0,538,,-1.8883958942278662,132.3502262473484,0.80289704,0.7973182,3485,66,393,1171,381,-1,,-1,
1_1_LT05_106061_19960725_00000cff636f99017122_0,13.Disputed Land cleared in 2017,24,,,328,,0,,0,490,,-1.9222411418124734,132.3213422330717,0.7441393,0.78356165,2604,66,316,1266,382,-1,,-1,
1_1_LT05_106061_19960725_0000a256e58c14f98604_0,"22. Primary Forest, 2014",10,,,303,,0,,0,297,,-1.9285705587739872,132.38115350838828,0.7460518,0.7061728,1382,66,238,573,201,-1,,-1,
1_1_LT05_106061_19960725_0000986f749581a25612_0,21. Swamp,8,,,1122,,0,,0,1488,,-2.010231093443732,132.41228650285314,0.48417312,0.5858499,4595,66,1200,2553,1597,-1,,-1,
1_1_LT05_106061_19960725_0000906ad230d00beb89_0,7.Primary Forest 2016,18,,,374,,0,,0,441,,-1.7796025821948491,132.4915818908765,0.66705835,0.71543735,2128,66,353,1010,425,-1,,-1,
1_1_LT05_106061_19960725_000077457b35ab3d5190_0,9. Primary Forest cleared in 2015,20,,,687,,0,,0,829,,-1.8093656590016032,132.4460006164793,0.61587304,0.5485245,2545,66,742,1262,605,-1,,-1,
1_1_LT05_106061_19960725_0000e1923b7b7db3c646_0,8. Primary forest cleared 2017,19,,,288,,0,,0,351,,-1.7873378005643281,132.39995382514022,0.6414048,0.65055764,1332,66,282,541,291,-1,,-1,
1_1_LT05_106061_19960826_0000fb67a78b70d5fc4f_0,17. Disputed Land cleared 2017,4,,,268,,0,,0,511,,-1.9414590160791922,132.3016416740556,0.6933524,0.7451197,2369,66,346,1213,429,-1,,-1,
1_1_LT05_106061_19960826_0000ccb27c8f5d3ef46d_0,18. Sago Forest,6,,,225,,0,,0,467,,-1.9522773514017462,132.28545711391885,0.74410975,0.807728,2924,66,311,1213,429,-1,,-1,
1_1_LT05_106061_19960826_0000d33652d4489c01ad_0,"20. Puragi village, land rights conflict",9,,,354,,0,,0,466,,-1.96773324672283,132.2870489423641,0.70911086,0.6363636,1557,66,346,696,265,-1,,-1,
1_1_LT05_106061_19960826_00009419fece5e331603_0,14. Swamp,2,,,995,,0,,0,1206,,-1.962265062279016,132.2590346879042,0.6318901,0.5959709,4278,66,1083,1818,965,-1,,-1,
1_1_LT05_106061_19960826_0000d98315eff5da7304_0,19. Network of canals,7,,,289,,0,,0,554,,-1.9576647172733035,132.26416171366736,0.8220494,0.840573,3983,66,345,1243,389,-1,,-1,
1_1_LT05_106061_19960826_0000ebdf8f3756e97b7a_0,"16. Sago 40,000ha concession",5,,,289,,0,,0,510,,-1.9419410766299214,132.26445656962534,0.8514202,0.81831187,3813,66,381,1185,306,-1,,-1,
1_1_LT05_106061_19960826_00003754d659e070befb_0,15. Logpond,3,,,439,,0,,0,598,,-1.9338000537457258,132.2596196201072,0.7065678,0.75442415,3222,66,451,1386,554,-1,,-1,
1_1_LT05_106061_19960826_00007ddfec1d5b655137_0,"12 Primary Forest, 2012",23,,,739,,0,,0,945,,-1.8596514166178884,132.3467665889175,0.5934877,0.5782313,3132,66,837,1586,799,-1,,-1,
1_1_LT05_106061_19960826_0000c9d17b4ed4e94c1f_0,11. Primary forest cleared in 2015,22,,,310,,0,,0,465,,-1.856418232236063,132.3602441180917,0.7080745,0.7571885,2750,66,380,1327,470,-1,,-1,
